"","zpid","latlon","street","zipcode","city","state","bedrooms","bathrooms","finishedSqFt","yearBuilt","price","rent","tax.year","tax","hoa","lat","lon"
"471",69819103,"[""37.758689"",""-122.422191""]","3634 20th St APT 1",94110,"San Francisco","CA","1","1","1102","1938","1,167,700","4250",NA,"774604","500",37.758689,-122.422191
"472",79843681,"[""37.758888"",""-122.410976""]","3011 20th St APT 1",94110,"San Francisco","CA","3","2","1439","2006","1,167,700","5100",NA,"872659","500",37.758888,-122.410976
"473",80739105,"[""37.758827"",""-122.411957""]","3121 20th St APT 1",94110,"San Francisco","CA","2","1","1457","1997","1,167,700","5000",NA,"1168000","500",37.758827,-122.411957
"474",82785811,"[""37.758884"",""-122.418472""]","3470 20th St # 1",94110,"San Francisco","CA","UNKNOWN","UNKNOWN","1002","1900","1,167,700","4350",NA,"658324","500",37.758884,-122.418472
"475",2100162567,"[""37.75953"",""-122.4024""]","2105 20th St APT 1",94107,"San Francisco","CA","2","3","1400","UNKNOWN","1,264,000","UNKNOWN",NA,"UNKNOWN","500",37.75953,-122.4024
"476",2112126033,"[""37.757783"",""-122.42906""]","3945 20th St APT 1",94114,"San Francisco","CA","1","1","4438","UNKNOWN","1,718,500","7650",NA,"UNKNOWN","500",37.757783,-122.42906
"477",2115164423,"[""37.757373"",""-122.436233""]","4323 20th St APT 1",94114,"San Francisco","CA","1","1","UNKNOWN","UNKNOWN","1,718,500","3195",NA,"UNKNOWN","500",37.757373,-122.436233
"478",2126646266,"[""37.758838"",""-122.419662""]","3520 20th St APT 1",94110,"San Francisco","CA","2","3","UNKNOWN","UNKNOWN","1,167,700","5866",NA,"UNKNOWN","500",37.758838,-122.419662
"479",2143393616,"[""37.758829"",""-122.411959""]","3121 20th St APT 1",94110,"San Francisco","CA","2","1","1457","1997","1,167,700","4400",NA,"UNKNOWN","500""zpid""",37.758829,-122.411959
"480",59700359,"[""37.770771"",""-122.413081""]","374 11th St UNIT 2",94103,"San Francisco","CA","1","2","961","2001","957,300","3995",NA,"430208","500",37.770771,-122.413081
"481",2103921264,"[""37.77253"",""-122.4153""]","230 11th St APT 2",94103,"San Francisco","CA","0","1","454","1912","957,300","2295",NA,"UNKNOWN","500""zpid""",37.77253,-122.4153
"482",2100649118,"[""37.76469"",""-122.4688""]","1259 11th Ave APT 5",94122,"San Francisco","CA","1","1","UNKNOWN","UNKNOWN","1,348,400","2800",NA,"UNKNOWN","500",37.76469,-122.4688
"483",2102346653,"[""37.76538"",""-122.4689""]","1215 11th Ave APT 5",94122,"San Francisco","CA","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","1,348,400","2995",NA,"UNKNOWN","500""zpid""",37.76538,-122.4689
"484",15142799,"[""37.767911"",""-122.429698""]","734 14th St APT 4",94114,"San Francisco","CA","2","2","707","1990","UNKNOWN","4015",NA,"530000","500",37.767911,-122.429698
"485",59779666,"[""37.767836"",""-122.422803""]","425 14th St APT 4",94103,"San Francisco","CA","2","2.5","1328","2001","1,167,700","5200",NA,"816260","500",37.767836,-122.422803
"486",64968900,"[""37.767714"",""-122.42575""]","565 14th St APT 4",94103,"San Francisco","CA","1","1","1019","1924","1,167,700","4500",NA,"668418","500",37.767714,-122.42575
"487",89238812,"[""37.7677"",""-122.425956""]","575 14th St APT 4",94103,"San Francisco","CA","2","1","1026","1925","1,167,700","4600",NA,"619694","500",37.7677,-122.425956
"488",2112113917,"[""37.768184"",""-122.42523""]","536 14th St APT 4",94103,"San Francisco","CA","1","1","UNKNOWN","UNKNOWN","1,167,700","4500",NA,"UNKNOWN","500",37.768184,-122.42523
"489",2114715250,"[""37.768063"",""-122.422887""]","429 14th St APT 4",94103,"San Francisco","CA","1","1","UNKNOWN","UNKNOWN","1,167,700","4250",NA,"UNKNOWN","500",37.768063,-122.422887
"490",2128006927,"[""37.76736"",""-122.437088""]","1056 14th St APT 4",94114,"San Francisco","CA","1","1","UNKNOWN","UNKNOWN","1,470,700","3199",NA,"UNKNOWN","500",37.76736,-122.437088
"491",2143861616,"[""37.767911"",""-122.429698""]","734 14th St APT 4",94114,"San Francisco","CA","2","1","UNKNOWN","1990","UNKNOWN","5200",NA,"UNKNOWN","500""zpid""",37.767911,-122.429698
"492",15142797,"[""37.767911"",""-122.429698""]","734 14th St APT 3",94114,"San Francisco","CA","2","2","707","1990","UNKNOWN","4050",NA,"578898","500",37.767911,-122.429698
"493",53153403,"[""37.767714"",""-122.42575""]","565 14th St APT 3",94103,"San Francisco","CA","UNKNOWN","UNKNOWN","1016","1924","1,167,700","4500",NA,"620610","500",37.767714,-122.42575
"494",59779665,"[""37.767836"",""-122.422803""]","425 14th St APT 3",94103,"San Francisco","CA","2","2","1099","2001","1,167,700","4800",NA,"698114","500",37.767836,-122.422803
"495",89239628,"[""37.7677"",""-122.425956""]","575 14th St APT 3",94103,"San Francisco","CA","UNKNOWN","1","1031","1925","1,167,700","4600",NA,"778668","500",37.7677,-122.425956
"496",2101227695,"[""37.76732"",""-122.4317""]","819 14th St APT 3",94114,"San Francisco","CA","2","1","UNKNOWN","UNKNOWN","UNKNOWN","4250",NA,"UNKNOWN","500",37.76732,-122.4317
"497",2112020915,"[""37.76797"",""-122.4233""]","429 14th St APT 3",94103,"San Francisco","CA","1","1","UNKNOWN","1906","1,167,700","4595",NA,"UNKNOWN","500""zpid""",37.76797,-122.4233
"498",15127567,"[""37.762735"",""-122.43856""]","4150 17th St APT 2",94114,"San Francisco","CA","2","2","1575","1994","1,449,300","5450",NA,"1008868","500",37.762735,-122.43856
"499",15127751,"[""37.762088"",""-122.445714""]","4508 17th St # 2",94114,"San Francisco","CA","4","3","1894","1990","2,111,800","6250",NA,"946398","500",37.762088,-122.445714
"500",15127753,"[""37.762046"",""-122.445799""]","4514 17th St # 2",94114,"San Francisco","CA","3","3","1639","1990","2,111,800","5875",NA,"1070176","500",37.762046,-122.445799
"501",15127755,"[""37.762033"",""-122.445885""]","4520 17th St # 2",94114,"San Francisco","CA","3","2","1392","1990","2,111,800","5800",NA,"837738","500",37.762033,-122.445885
"502",15127757,"[""37.762028"",""-122.445971""]","4528 17th St # 2",94114,"San Francisco","CA","2","2","1392","1990","2,111,800","5250",NA,"743810","500",37.762028,-122.445971
"503",15128174,"[""37.762344"",""-122.440976""]","4318 17th St # 2",94114,"San Francisco","CA","2","2","1073","1989","1,449,300","4950",NA,"873235","500",37.762344,-122.440976
"504",15143839,"[""37.763546"",""-122.425045""]","3542 17th St UNIT 2",94110,"San Francisco","CA","2","2","996","1991","1,167,700","4450",NA,"543660","500",37.763546,-122.425045
"505",15143844,"[""37.763343"",""-122.425389""]","3566 17th St UNIT 2",94110,"San Francisco","CA","2","2","1248","1994","1,167,700","4800",NA,"670764","500",37.763343,-122.425389
"506",15144026,"[""37.763173"",""-122.420047""]","3321 17th St APT 2",94110,"San Francisco","CA","UNKNOWN","1","312","1925","1,167,700","3650",NA,"74558","500",37.763173,-122.420047
"507",59700326,"[""37.761933"",""-122.440849""]","4321 17th St APT 2",94114,"San Francisco","CA","2","2","1210","1973","1,449,300","5250",NA,"896532","500",37.761933,-122.440849
"508",59779941,"[""37.765014"",""-122.394343""]","1025 17th St APT 2",94107,"San Francisco","CA","1","1.5","842","1999","1,264,000","3900",NA,"514456","500",37.765014,-122.394343
"509",63197190,"[""37.763146"",""-122.420502""]","3345 17th St APT 2",94110,"San Francisco","CA","3","3.5","1781","2002","1,167,700","6500",NA,"1341272","500",37.763146,-122.420502
"510",2097765638,"[""37.761581"",""-122.445898""]","4521 17th St APT 2",94114,"San Francisco","CA","1","1","UNKNOWN","1968","1,449,300","UNKNOWN",NA,"UNKNOWN","500",37.761581,-122.445898
"511",2099740222,"[""37.7631"",""-122.427""]","3638 17th St # 2",94114,"San Francisco","CA","1","1","772","1908","1,167,700","UNKNOWN",NA,"UNKNOWN","500",37.7631,-122.427
"512",2116349001,"[""37.762568"",""-122.433251""]","3909 17th St APT 2",94114,"San Francisco","CA","0","1","UNKNOWN","UNKNOWN","1,718,500","2610",NA,"UNKNOWN","500""zpid""",37.762568,-122.433251
"513",2103595615,"[""37.78482"",""-122.469741""]","190 11th Ave APT 4",94118,"San Francisco","CA","2","1","875","1927","2,202,400","3800",NA,"UNKNOWN","500",37.78482,-122.469741
"514",2114872130,"[""37.76488"",""-122.46862""]","1271 11th Ave APT 4",94122,"San Francisco","CA","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","1,348,400","4750",NA,"UNKNOWN","500",37.76488,-122.46862
"515",2119579368,"[""37.77885"",""-122.461604""]","735 11th Ave APT 4",94118,"San Francisco","CA","1","1","800","1935","1,679,000","3800",NA,"UNKNOWN","500""zpid""",37.77885,-122.461604
"516",63197097,"[""37.771683"",""-122.411809""]","380 10th St UNIT 9",94103,"San Francisco","CA","2","2","731","2004","957,300","3900",NA,"508892","500""zpid""",37.771683,-122.411809
"517",53734655,"[""37.759533"",""-122.400651""]","1919 20th St APT 6",94107,"San Francisco","CA","UNKNOWN","UNKNOWN","646","1963","1,264,000","3900",NA,"428978","500",37.759533,-122.400651
"518",67394647,"[""37.758243"",""-122.42171""]","3615 20th St APT 6",94110,"San Francisco","CA","2","2","1022","2003","1,167,700","5499",NA,"1400000","500",37.758243,-122.42171
"519",80744778,"[""37.758632"",""-122.416126""]","3365 20th St APT 6",94110,"San Francisco","CA","2","2","1202","2002","1,167,700","4600",NA,"577228","500",37.758632,-122.416126
"520",2114713976,"[""37.757373"",""-122.436233""]","4323 20th St APT 6",94114,"San Francisco","CA","2","1","UNKNOWN","UNKNOWN","1,718,500","3600",NA,"UNKNOWN","500""zpid""",37.757373,-122.436233
"521",125243344,"[""37.779114"",""-122.469578""]","491 11th Ave # 2",94118,"San Francisco","CA","2","1","1180","1914","1,679,000","4200",NA,"520325","500",37.779114,-122.469578
"522",2097942494,"[""37.781889"",""-122.469383""]","342 11th Ave # 2",94118,"San Francisco","CA","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","1,679,000","UNKNOWN",NA,"UNKNOWN","500",37.781889,-122.469383
"523",2101166081,"[""37.76001"",""-122.468""]","1500 11th Ave APT 2",94122,"San Francisco","CA","2","1","UNKNOWN","UNKNOWN","1,348,400","3650",NA,"UNKNOWN","500",37.76001,-122.468
"524",2102705084,"[""37.76449"",""-122.4688""]","1271 11th Ave APT 2",94122,"San Francisco","CA","2","1","750","UNKNOWN","1,348,400","3600",NA,"UNKNOWN","500",37.76449,-122.4688
"525",2102841804,"[""37.76538"",""-122.4689""]","1215 11th Ave APT 2",94122,"San Francisco","CA","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","1,348,400","2995",NA,"UNKNOWN","500",37.76538,-122.4689
"526",2105154894,"[""37.774418"",""-122.469505""]","735 11th Ave APT 2",94118,"San Francisco","CA","1","1","800","UNKNOWN","1,679,000","3500",NA,"UNKNOWN","500""zpid""",37.774418,-122.469505
