zpid,latlon,street,zipcode,city,state,bedrooms,bathrooms,finishedSqFt,yearBuilt,price,rent,tax year,tax,hoa
15144031,"[""37.763173"",""-122.420047""]",3321 17th St APT 7,94110,San Francisco,CA,1,1,500,1925,"1,167,700",3150,,457927,500
59779946,"[""37.765014"",""-122.394343""]",1025 17th St APT 7,94107,San Francisco,CA,1,1.5,836,1999,"1,264,000",4000,,688484,500
63165639,"[""37.763146"",""-122.420502""]",3345 17th St APT 7,94110,San Francisco,CA,1,1,1311,2002,"1,167,700",4850,,994376,"500""zpid"""
59779959,"[""37.762136"",""-122.408479""]",2600 18th St STE 7,94110,San Francisco,CA,2,2.5,1304,1999,"1,167,700",4900,,824368,500
80739163,"[""37.762378"",""-122.413391""]",3118 18th St APT 7,94110,San Francisco,CA,1,1.5,974,1998,"1,167,700",3995,,568300,500
2097819863,"[""37.760954"",""-122.429852""]",3875 18th St APT 7,94114,San Francisco,CA,2,1,UNKNOWN,UNKNOWN,"1,718,500",UNKNOWN,,UNKNOWN,500
2102574356,"[""37.761273"",""-122.424864""]",3649 18th St APT 7,94110,San Francisco,CA,0,1,450,1920,"1,167,700",2610,,UNKNOWN,"500""zpid"""
15127573,"[""37.762735"",""-122.43856""]",4150 17th St APT 8,94114,San Francisco,CA,2,2,1575,1994,"1,449,300",5250,,975972,500
15144032,"[""37.763173"",""-122.420047""]",3321 17th St APT 8,94110,San Francisco,CA,1,1,430,1925,"1,167,700",3150,,419844,500
59779947,"[""37.765014"",""-122.394343""]",1025 17th St APT 8,94107,San Francisco,CA,1,2,829,1999,"1,264,000",4000,,600767,500
63197195,"[""37.763146"",""-122.420502""]",3345 17th St APT 8,94110,San Francisco,CA,1,1.5,862,2002,"1,167,700",4200,,772124,500
2111774834,"[""37.761814"",""-122.44549""]",4521 17th St APT 8,94114,San Francisco,CA,1,1,UNKNOWN,UNKNOWN,"1,449,300",5500,,UNKNOWN,500
2122622488,"[""37.762568"",""-122.433251""]",3909 17th St APT 8,94114,San Francisco,CA,0,1,UNKNOWN,UNKNOWN,"1,718,500",2610,,UNKNOWN,"500""zpid"""
2115067650,"[""37.764537"",""-122.479011""]",1240 21st Ave APT 4,94122,San Francisco,CA,1,1,UNKNOWN,UNKNOWN,"1,111,300",2955,,UNKNOWN,500
2126092535,"[""37.784297"",""-122.48056""]",190 21st Ave APT 4,94121,San Francisco,CA,0,1,UNKNOWN,UNKNOWN,"2,202,400",4583,,UNKNOWN,"500""zpid"""
53734590,"[""37.76129"",""-122.4246""]",3637 18th St APT 4,94110,San Francisco,CA,0,1,304,UNKNOWN,"1,167,700",2705,,25513,500
59779956,"[""37.762136"",""-122.408479""]",2600 18th St STE 4,94110,San Francisco,CA,UNKNOWN,UNKNOWN,753,1999,"1,167,700",3895,,467280,500
80740207,"[""37.762378"",""-122.413391""]",3118 18th St APT 4,94110,San Francisco,CA,1,1.5,1355,1998,"1,167,700",4400,,586266,500
119684957,"[""37.760822"",""-122.432044""]",3967 18th St APT 4,94114,San Francisco,CA,1,1,726,1923,"1,718,500",3950,,764984,500
2117020059,"[""37.76198"",""-122.4204""]",3444 18th St APT 4,94110,San Francisco,CA,0,1,UNKNOWN,UNKNOWN,"1,167,700",3950,,UNKNOWN,500
2124792605,"[""37.761947"",""-122.404899""]",2245 18th St APT 4,94107,San Francisco,CA,2,1,1028,1956,"1,264,000",4500,,UNKNOWN,500
2127118985,"[""37.761779"",""-122.421092""]",3476 18th St APT 4,94110,San Francisco,CA,UNKNOWN,1,UNKNOWN,UNKNOWN,"1,167,700",2175,,UNKNOWN,500
2128198571,"[""37.761901"",""-122.418998""]",3352 18th St APT 4,94110,San Francisco,CA,1,1,650,1963,"1,167,700",3199,,UNKNOWN,"500""zpid"""
15090165,"[""37.785498"",""-122.478346""]",126 19th Ave # 2,94121,San Francisco,CA,UNKNOWN,5,3710,1972,"2,202,400",5950,,224489,500
15112240,"[""37.753702"",""-122.476057""]",1826 19th Ave # 2,94122,San Francisco,CA,3,2,1675,1980,"1,348,400",4500,,346184,500
15112242,"[""37.753771"",""-122.476062""]",1822 19th Ave # 2,94122,San Francisco,CA,3,2,1675,1980,"1,348,400",4500,,275005,500
15112244,"[""37.753839"",""-122.476066""]",1818 19th Ave # 2,94122,San Francisco,CA,3,2,1675,1980,"1,348,400",4500,,244769,500
61288377,"[""37.76075"",""-122.476575""]",1452 19th Ave # 2,94122,San Francisco,CA,4,3,2013,2000,"1,348,400",4200,,960000,500
69819971,"[""37.777641"",""-122.477775""]",542 19th Ave # 2,94121,San Francisco,CA,5,4,1971,2004,"1,480,400",5980,,1080208,500
119685499,"[""37.773475"",""-122.478134""]",767 19th Ave # 2,94121,San Francisco,CA,1,1,626,1922,"1,480,400",3450,,400353,500
2115537740,"[""37.782865"",""-122.478378""]",268 19th Ave # 2,94121,San Francisco,CA,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"1,480,400",3100,,UNKNOWN,500
2118257341,"[""37.78374"",""-122.478874""]",221 19th Ave # 2,94121,San Francisco,CA,1,1,625,UNKNOWN,"1,480,400",3133,,UNKNOWN,"500""zpid"""
15150532,"[""37.759533"",""-122.400651""]",1919 20th St APT 4,94107,San Francisco,CA,1,1,646,1963,"1,264,000",3500,,594272,500
48189107,"[""37.758481"",""-122.417371""]",3415 20th St APT 4,94110,San Francisco,CA,2,2,1019,2000,"1,167,700",4450,,695874,500
53153615,"[""37.758872"",""-122.411235""]",3025A 20th St # 4,94110,San Francisco,CA,2,2,1258,1998,"1,167,700",4600,,768313,500
61288436,"[""37.758632"",""-122.416126""]",3365 20th St APT 4,94110,San Francisco,CA,3,2,1982,2002,"1,167,700",6500,,1274974,500
64970229,"[""37.758243"",""-122.42171""]",3615 20th St APT 4,94110,San Francisco,CA,UNKNOWN,UNKNOWN,1022,2003,"1,167,700",4600,,858148,500
69819106,"[""37.758689"",""-122.422195""]",3634 20th St APT 4,94110,San Francisco,CA,1,1,921,1938,"1,167,700",4200,,669674,500
80745959,"[""37.758827"",""-122.411956""]",3121 20th St APT 4,94110,San Francisco,CA,2,2.5,2220,1997,"1,167,700",6400,,1733965,500
123597106,"[""37.758304"",""-122.425039""]",3774 20th St # 4,94110,San Francisco,CA,1,1,678,1911,"1,167,700",3695,,615532,"500""zpid"""
15090248,"[""37.784373"",""-122.479848""]",195 20th Ave APT 4,94121,San Francisco,CA,1,1,740,1993,"2,202,400",3750,,627286,500
125243742,"[""37.781379"",""-122.479118""]",348 20th Ave APT 4,94121,San Francisco,CA,1,1,618,1975,"1,480,400",3200,,92202,500
2101707179,"[""37.77985"",""-122.479""]",420 20th Ave APT 4,94121,San Francisco,CA,0,1,UNKNOWN,UNKNOWN,"1,480,400",2575,,UNKNOWN,"500""zpid"""
79841092,"[""37.762081"",""-122.389007""]",638 19th St UNIT 8,94107,San Francisco,CA,2,2.5,1309,2007,"1,124,600",4850,,730210,500
89237153,"[""37.760635"",""-122.424362""]",3620 19th St APT 8,94110,San Francisco,CA,2,2,1510,2008,"1,167,700",6000,,980402,500
2098516292,"[""37.759797"",""-122.428698""]",3822 19th St APT 8,94114,San Francisco,CA,2,1.5,UNKNOWN,UNKNOWN,"1,718,500",UNKNOWN,,UNKNOWN,500
2111076294,"[""37.759269"",""-122.43238""]",3995 19th St APT 8,94114,San Francisco,CA,1,1,11,UNKNOWN,"1,718,500",3650,,UNKNOWN,"500""zpid"""
79843178,"[""37.762081"",""-122.389007""]",638 19th St UNIT 9,94107,San Francisco,CA,3,2,1485,2007,"1,124,600",6250,,815188,500
89238107,"[""37.760635"",""-122.424362""]",3620 19th St APT 9,94110,San Francisco,CA,2,2,1510,2008,"1,167,700",6250,,857183,500
2116403144,"[""37.759891"",""-122.428833""]",3822 19th St APT 9,94114,San Francisco,CA,2,2,900,UNKNOWN,"1,718,500",4300,,UNKNOWN,"500""zpid"""
2098194876,"[""37.764803"",""-122.459175""]",1275 2nd Ave APT 03,94122,San Francisco,CA,1,1,850,UNKNOWN,"1,348,400",UNKNOWN,,UNKNOWN,"500""zpid"""
